model_name,draws,avg_final_hits,avg_top6_hits,avg_top12_hits,avg_top18_hits,avg_brier,avg_log_loss,avg_actual_rank,hit_3plus,hit_4plus,final_hit_lift_vs_empirical_random,final_hit_lift_vs_theory,top6_lift_vs_theory,top12_lift_vs_theory,top18_lift_vs_theory,top6_z_vs_theory,top6_p_vs_theory,top12_z_vs_theory,top12_p_vs_theory,top18_z_vs_theory,top18_p_vs_theory
ema_gap,621,0.7198067632850241,0.7198067632850241,1.4122383252818036,2.101449275362319,0.10891833689495667,0.3783607329850251,25.41867954911433,0.01932367149758454,0.001610305958132045,0.032206119162640934,-0.014887114265996315,-0.014887114265996315,-0.057149429820237296,-0.10263235729074216,-0.4881500236064871,0.625443580670247,-1.4284763763421302,0.15315478949056208,-2.2883363026010635,0.022117943964976343
v4_ensemble,621,0.6956521739130435,0.6956521739130435,1.392914653784219,2.1497584541062804,0.10818329818473851,0.37500785536679077,25.53972088030059,0.01288244766505636,0.001610305958132045,0.008051529790660261,-0.03904170363797699,-0.03904170363797699,-0.07647310131782192,-0.05432317854678059,-1.2801815188620422,0.20048130407411707,-1.9114804644900176,0.05594286494680485,-1.2112135472941195,0.22581357197941704
random,621,0.6876006441223832,0.6876006441223832,1.4782608695652173,2.219001610305958,0.10745522698875466,0.37177617994345324,25.032742887815353,0.00966183574879227,0.0,0.0,-0.04709323342863725,-0.04709323342863725,0.008873114463176401,0.01491997765289721,-1.5441920172805619,0.12254182213579465,0.22178759149647354,0.8244792394662608,0.3326624019791566,0.7393891334359621
ensemble,621,0.6827697262479872,0.6827697262479872,1.3977455716586151,2.1465378421900163,0.10768258488856136,0.37281445425172005,25.519323671497585,0.020933977455716585,0.00322061191626409,-0.004830917874396046,-0.051924151303033295,-0.051924151303033295,-0.07164218344342577,-0.0575437904630447,-1.70259831633167,0.08864326538285333,-1.7907294424530458,0.07333672260346642,-1.283021730981249,0.19948446283464652
logistic,621,0.6811594202898551,0.6811594202898551,1.4460547504025765,2.243156199677939,0.10768532016355048,0.37283733947743586,25.136339237788512,0.01932367149758454,0.0,-0.006441223832528098,-0.05353445726116535,-0.05353445726116535,-0.02333300469946442,0.03907456702487799,-1.755400416015374,0.07919084096737247,-0.5832192220833331,0.5597457327482972,0.8712237796326284,0.3836319783315588
v3_boosting,621,0.677938808373591,0.677938808373591,1.423510466988728,2.2045088566827697,0.10845219284406095,0.375931943431135,25.063607085346217,0.017713365539452495,0.004830917874396135,-0.009661835748792202,-0.05675506917742945,-0.05675506917742945,-0.04587728811331293,0.0004272240297087393,-1.8610046153827817,0.06274352492229658,-1.146723991589196,0.2514957116246419,0.009525575387073463,0.9923998054020164
v2_statistical,621,0.677938808373591,0.677938808373591,1.3494363929146538,2.107890499194847,0.11042513902948344,0.38475181220900206,25.405260332796562,0.01288244766505636,0.001610305958132045,-0.009661835748792202,-0.05675506917742945,-0.05675506917742945,-0.11995136218738711,-0.09619113345821395,-1.8610046153827817,0.06274352492229658,-2.9982396628227583,0.0027154404229009247,-2.1447199352268043,0.031975246014504216
