model_name,draws,avg_final_hits,avg_top6_hits,avg_top12_hits,avg_top18_hits,avg_brier,avg_log_loss,avg_actual_rank,hit_3plus,hit_4plus,final_hit_lift_vs_empirical_random,final_hit_lift_vs_theory,top6_lift_vs_theory,top12_lift_vs_theory,top18_lift_vs_theory,top6_z_vs_theory,top6_p_vs_theory,top12_z_vs_theory,top12_p_vs_theory,top18_z_vs_theory,top18_p_vs_theory
v3_boosting,621,0.7407407407407407,0.7407407407407407,1.534621578099839,2.249597423510467,0.10946895961352829,0.38015335899431496,24.890230810520666,0.011272141706924315,0.0,0.0531400966183575,0.006046863189720253,0.006046863189720253,0.06523382299779801,0.0455157908574062,0.19827727228166023,0.8428281327643669,1.6305495152611391,0.102985409119766,1.0148401470068875,0.3101820328700811
ema_gap,621,0.7198067632850241,0.7198067632850241,1.4122383252818036,2.101449275362319,0.10891833689495667,0.3783607329850251,25.41867954911433,0.01932367149758454,0.001610305958132045,0.032206119162640934,-0.014887114265996315,-0.014887114265996315,-0.057149429820237296,-0.10263235729074216,-0.4881500236064871,0.625443580670247,-1.4284763763421302,0.15315478949056208,-2.2883363026010635,0.022117943964976343
v4_ensemble,621,0.7198067632850241,0.7198067632850241,1.3864734299516908,2.140096618357488,0.10859439252208869,0.37684884602667107,25.316425120772948,0.01610305958132045,0.00322061191626409,0.032206119162640934,-0.014887114265996315,-0.014887114265996315,-0.08291432515035013,-0.0639850142955729,-0.4881500236064871,0.625443580670247,-2.07248182720598,0.03822052928457147,-1.4266380983555083,0.15368423671848996
random,621,0.6876006441223832,0.6876006441223832,1.4782608695652173,2.219001610305958,0.10745522698875466,0.37177617994345324,25.032742887815353,0.00966183574879227,0.0,0.0,-0.04709323342863725,-0.04709323342863725,0.008873114463176401,0.01491997765289721,-1.5441920172805619,0.12254182213579465,0.22178759149647354,0.8244792394662608,0.3326624019791566,0.7393891334359621
v2_statistical,621,0.677938808373591,0.677938808373591,1.3494363929146538,2.107890499194847,0.11042513902948344,0.38475181220900206,25.405260332796562,0.01288244766505636,0.001610305958132045,-0.009661835748792202,-0.05675506917742945,-0.05675506917742945,-0.11995136218738711,-0.09619113345821395,-1.8610046153827817,0.06274352492229658,-2.9982396628227583,0.0027154404229009247,-2.1447199352268043,0.031975246014504216
