target_draw_date,model_name,model_version,actual,bonus,final_6_hits,top_6_hits,top_12_hits,top_18_hits,matched_final,brier_score,log_loss,mean_actual_rank
2020-01-25,v4_ensemble,v1.0.0,"[8, 20, 21, 30, 32, 48]",31,0,0,0,1,[],0.11125676079339164,0.38775317223791184,30.0
2020-01-29,random,v1.0.0,"[3, 14, 16, 23, 41, 43]",29,1,1,1,3,[3],0.10745522698875463,0.37177617994345336,23.333333333333332
2020-01-29,ema_gap,v1.0.0,"[3, 14, 16, 23, 41, 43]",29,0,0,1,4,[],0.10825709004904799,0.37325779608861415,21.666666666666668
2020-01-29,v2_statistical,v1.0.0,"[3, 14, 16, 23, 41, 43]",29,2,2,2,2,"[41, 43]",0.1073795426145892,0.375957968816642,21.833333333333332
2020-01-29,v3_boosting,v1.0.0,"[3, 14, 16, 23, 41, 43]",29,2,2,4,4,"[23, 41]",0.10334826367571029,0.3573109509393874,17.333333333333332
2020-01-29,v4_ensemble,v1.0.0,"[3, 14, 16, 23, 41, 43]",29,2,2,3,4,"[23, 41]",0.10495466834259687,0.363973305447239,16.833333333333332
2020-02-01,random,v1.0.0,"[13, 21, 35, 40, 45, 48]",47,0,0,0,1,[],0.10745522698875466,0.3717761799434531,33.666666666666664
2020-02-01,ema_gap,v1.0.0,"[13, 21, 35, 40, 45, 48]",47,2,2,2,3,"[45, 48]",0.10725815209271172,0.3729364038558724,24.333333333333332
2020-02-01,v2_statistical,v1.0.0,"[13, 21, 35, 40, 45, 48]",47,1,1,3,3,[45],0.10445361850393642,0.3668024125344703,22.166666666666668
2020-02-01,v3_boosting,v1.0.0,"[13, 21, 35, 40, 45, 48]",47,0,0,2,3,[],0.10813993498353233,0.3697614104429619,19.666666666666668
2020-02-01,v4_ensemble,v1.0.0,"[13, 21, 35, 40, 45, 48]",47,1,1,3,3,[45],0.10526902830778476,0.3625433004866542,20.166666666666668
2020-02-08,random,v1.0.0,"[8, 28, 30, 39, 41, 43]",45,0,0,1,1,[],0.10745522698875466,0.37177617994345313,31.5
2020-02-08,ema_gap,v1.0.0,"[8, 28, 30, 39, 41, 43]",45,1,1,3,4,[43],0.1053788006092722,0.3599374153008431,17.666666666666668
2020-02-08,v2_statistical,v1.0.0,"[8, 28, 30, 39, 41, 43]",45,2,2,2,3,"[41, 43]",0.1037699416742889,0.35664233266501955,19.666666666666668
2020-02-08,v3_boosting,v1.0.0,"[8, 28, 30, 39, 41, 43]",45,1,1,2,3,[43],0.10553897657544987,0.36346874591592565,19.666666666666668
2020-02-08,v4_ensemble,v1.0.0,"[8, 28, 30, 39, 41, 43]",45,2,2,2,3,"[41, 43]",0.10395476815756868,0.35836915799069086,20.666666666666668
2020-02-12,random,v1.0.0,"[16, 20, 24, 33, 36, 47]",4,0,0,0,1,[],0.10745522698875466,0.37177617994345324,29.333333333333332
2020-02-12,ema_gap,v1.0.0,"[16, 20, 24, 33, 36, 47]",4,0,0,2,3,[],0.10813760708939053,0.37213127477462127,22.0
2020-02-12,v2_statistical,v1.0.0,"[16, 20, 24, 33, 36, 47]",4,0,0,2,4,[],0.10893414320334732,0.3711106554309703,19.333333333333332
2020-02-12,v3_boosting,v1.0.0,"[16, 20, 24, 33, 36, 47]",4,1,1,1,1,[16],0.11343299310401755,0.3985646665148408,28.833333333333332
2020-02-12,v4_ensemble,v1.0.0,"[16, 20, 24, 33, 36, 47]",4,0,0,1,2,[],0.11006240562893255,0.38148915484853535,23.833333333333332
2020-02-15,random,v1.0.0,"[7, 8, 11, 23, 27, 30]",3,0,0,3,3,[],0.10745522698875466,0.37177617994345336,17.666666666666668
2020-02-15,ema_gap,v1.0.0,"[7, 8, 11, 23, 27, 30]",3,0,0,1,2,[],0.1109936548196193,0.38800547947240716,29.333333333333332
2020-02-15,v2_statistical,v1.0.0,"[7, 8, 11, 23, 27, 30]",3,0,0,1,2,[],0.11571087523282385,0.40409767658557105,28.333333333333332
2020-02-15,v3_boosting,v1.0.0,"[7, 8, 11, 23, 27, 30]",3,0,0,1,1,[],0.11285957055762022,0.395864970224346,29.666666666666668
2020-02-15,v4_ensemble,v1.0.0,"[7, 8, 11, 23, 27, 30]",3,0,0,0,0,[],0.11208601948945393,0.3931953546090339,33.0
2020-02-19,random,v1.0.0,"[5, 6, 13, 23, 44, 49]",40,2,2,2,3,"[5, 6]",0.10745522698875466,0.37177617994345336,23.333333333333332
2020-02-19,ema_gap,v1.0.0,"[5, 6, 13, 23, 44, 49]",40,0,0,1,1,[],0.11118643750168124,0.38919003052449946,26.666666666666668
2020-02-19,v2_statistical,v1.0.0,"[5, 6, 13, 23, 44, 49]",40,0,0,0,1,[],0.11641275337055147,0.41318832966146285,30.333333333333332
2020-02-19,v3_boosting,v1.0.0,"[5, 6, 13, 23, 44, 49]",40,1,1,1,2,[44],0.11030322958728078,0.3869159965455151,28.833333333333332
2020-02-19,v4_ensemble,v1.0.0,"[5, 6, 13, 23, 44, 49]",40,0,0,1,2,[],0.11219366259354645,0.39323795660874783,30.333333333333332
2020-02-22,random,v1.0.0,"[2, 7, 26, 33, 46, 48]",25,1,1,2,2,[2],0.10745522698875466,0.37177617994345313,27.0
2020-02-22,ema_gap,v1.0.0,"[2, 7, 26, 33, 46, 48]",25,1,1,2,2,[2],0.10669019394225407,0.36873920797808873,21.833333333333332
2020-02-22,v2_statistical,v1.0.0,"[2, 7, 26, 33, 46, 48]",25,1,1,2,2,[48],0.10948352948242376,0.3742476458037213,22.5
2020-02-22,v3_boosting,v1.0.0,"[2, 7, 26, 33, 46, 48]",25,1,1,2,2,[46],0.10972023033580415,0.3835602598941797,27.0
2020-02-22,v4_ensemble,v1.0.0,"[2, 7, 26, 33, 46, 48]",25,0,0,2,3,[],0.10792345580780217,0.37215567672438227,21.333333333333332
2020-02-26,random,v1.0.0,"[8, 25, 34, 35, 36, 38]",5,0,0,1,1,[],0.10745522698875466,0.3717761799434531,29.333333333333332
2020-02-26,ema_gap,v1.0.0,"[8, 25, 34, 35, 36, 38]",5,0,0,0,1,[],0.11152720005053089,0.3876169776518817,27.666666666666668
2020-02-26,v2_statistical,v1.0.0,"[8, 25, 34, 35, 36, 38]",5,0,0,0,1,[],0.11443606586390308,0.3984370390595008,27.833333333333332
2020-02-26,v3_boosting,v1.0.0,"[8, 25, 34, 35, 36, 38]",5,1,1,2,2,[8],0.10627613107434007,0.3671612776515724,21.666666666666668
2020-02-26,v4_ensemble,v1.0.0,"[8, 25, 34, 35, 36, 38]",5,0,0,2,2,[],0.10932937618531556,0.3794844190197328,26.0
2020-02-29,random,v1.0.0,"[6, 12, 15, 18, 31, 43]",13,1,1,2,4,[6],0.10745522698875465,0.37177617994345336,20.833333333333332
2020-02-29,ema_gap,v1.0.0,"[6, 12, 15, 18, 31, 43]",13,1,1,2,2,[43],0.11264277512372492,0.39854285403872214,32.5
2020-02-29,v2_statistical,v1.0.0,"[6, 12, 15, 18, 31, 43]",13,1,1,1,1,[43],0.11079522061714613,0.394382711081172,28.833333333333332
2020-02-29,v3_boosting,v1.0.0,"[6, 12, 15, 18, 31, 43]",13,2,2,2,4,"[12, 15]",0.10581268476720619,0.3620083330325462,18.166666666666668
2020-02-29,v4_ensemble,v1.0.0,"[6, 12, 15, 18, 31, 43]",13,0,0,1,2,[],0.10763437213539268,0.36957789690429527,21.666666666666668
2020-03-04,random,v1.0.0,"[6, 8, 15, 24, 38, 41]",31,1,1,2,3,[6],0.10745522698875466,0.37177617994345336,22.0
2020-03-04,ema_gap,v1.0.0,"[6, 8, 15, 24, 38, 41]",31,0,0,2,4,[],0.10684081075327273,0.3664555795674872,20.0
2020-03-04,v2_statistical,v1.0.0,"[6, 8, 15, 24, 38, 41]",31,1,1,3,3,[41],0.1084783972354368,0.37316048123810946,21.833333333333332
2020-03-04,v3_boosting,v1.0.0,"[6, 8, 15, 24, 38, 41]",31,2,2,2,3,"[8, 24]",0.10828096099903527,0.37845116875618384,24.5
2020-03-04,v4_ensemble,v1.0.0,"[6, 8, 15, 24, 38, 41]",31,1,1,2,3,[24],0.10706825695964635,0.36891712498350776,21.5
2020-03-07,random,v1.0.0,"[5, 8, 13, 27, 34, 46]",39,1,1,2,3,[5],0.10745522698875466,0.37177617994345336,22.166666666666668
