target_draw_date,model_name,model_version,actual,bonus,final_6_hits,top_6_hits,top_12_hits,top_18_hits,matched_final,brier_score,log_loss,mean_actual_rank
2020-02-19,v2_statistical,research-v2,"[5, 6, 13, 23, 44, 49]",40,0,0,0,1,[],0.11641275337055147,0.41318832966146285,30.333333333333332
2020-02-22,random,research-v2,"[2, 7, 26, 33, 46, 48]",25,0,0,0,0,[],0.1074552270447906,0.3717761802041937,28.0
2020-02-22,ema_gap,research-v2,"[2, 7, 26, 33, 46, 48]",25,1,1,2,2,[2],0.10669019394225407,0.36873920797808873,21.833333333333332
2020-02-22,v2_statistical,research-v2,"[2, 7, 26, 33, 46, 48]",25,1,1,2,2,[48],0.10948352948242376,0.3742476458037213,22.5
2020-02-26,random,research-v2,"[8, 25, 34, 35, 36, 38]",5,1,1,1,2,[34],0.10745522697505563,0.3717761798797099,24.666666666666668
2020-02-26,ema_gap,research-v2,"[8, 25, 34, 35, 36, 38]",5,0,0,0,1,[],0.11152720005053089,0.3876169776518817,27.666666666666668
2020-02-26,v2_statistical,research-v2,"[8, 25, 34, 35, 36, 38]",5,0,0,0,1,[],0.11443606586390308,0.3984370390595008,27.833333333333332
2020-02-29,random,research-v2,"[6, 12, 15, 18, 31, 43]",13,0,0,1,2,[],0.1074552270274717,0.37177618012360686,28.666666666666668
2020-02-29,ema_gap,research-v2,"[6, 12, 15, 18, 31, 43]",13,1,1,2,2,[43],0.11264277512372492,0.39854285403872214,32.5
2020-02-29,v2_statistical,research-v2,"[6, 12, 15, 18, 31, 43]",13,1,1,1,1,[43],0.11079522061714613,0.394382711081172,28.833333333333332
2020-03-04,random,research-v2,"[6, 8, 15, 24, 38, 41]",31,1,1,2,4,[8],0.10745522691899835,0.3717761796188697,17.333333333333332
2020-03-04,ema_gap,research-v2,"[6, 8, 15, 24, 38, 41]",31,0,0,2,4,[],0.10684081075327273,0.3664555795674872,20.0
2020-03-04,v2_statistical,research-v2,"[6, 8, 15, 24, 38, 41]",31,1,1,3,3,[41],0.1084783972354368,0.37316048123810946,21.833333333333332
2020-03-07,random,research-v2,"[5, 8, 13, 27, 34, 46]",39,0,0,2,2,[],0.10745522701086278,0.3717761800463241,26.5
2020-03-07,ema_gap,research-v2,"[5, 8, 13, 27, 34, 46]",39,0,0,1,1,[],0.10950399278318187,0.37833681559525467,24.666666666666668
2020-03-07,v2_statistical,research-v2,"[5, 8, 13, 27, 34, 46]",39,0,0,1,3,[],0.1103688969518312,0.3784919644542338,23.833333333333332
2020-03-11,random,research-v2,"[5, 24, 32, 37, 43, 44]",23,1,1,1,2,[32],0.10745522697570688,0.3717761798827399,24.0
