target_draw_date,model_name,model_version,actual,bonus,final_6_hits,top_6_hits,top_12_hits,top_18_hits,matched_final,brier_score,log_loss,mean_actual_rank
2020-01-22,logistic,v1.0.0,"[2, 10, 27, 30, 39, 43]",21,1,1,1,1,[43],0.10871638795236396,0.37797112884438605,29.666666666666668
2020-01-22,ensemble,v1.0.0,"[2, 10, 27, 30, 39, 43]",21,2,2,2,2,"[2, 43]",0.10723685220135883,0.370596289828462,22.0
2020-01-25,random,v1.0.0,"[8, 20, 21, 30, 32, 48]",31,0,0,1,1,[],0.10745522698875466,0.37177617994345324,26.5
2020-01-25,long_frequency,v1.0.0,"[8, 20, 21, 30, 32, 48]",31,1,1,1,2,[20],0.10739496147548452,0.37142395873490797,23.666666666666668
2020-01-25,recent_frequency,v1.0.0,"[8, 20, 21, 30, 32, 48]",31,0,0,1,2,[],0.10868475468554771,0.3774971019715761,27.5
2020-01-25,ema_gap,v1.0.0,"[8, 20, 21, 30, 32, 48]",31,0,0,2,2,[],0.11140693653378955,0.38927103827080284,28.333333333333332
2020-01-25,logistic,v1.0.0,"[8, 20, 21, 30, 32, 48]",31,0,0,1,2,[],0.10780962030668181,0.37339027579098555,26.0
2020-01-25,ensemble,v1.0.0,"[8, 20, 21, 30, 32, 48]",31,1,1,1,1,[48],0.1083469723537764,0.37564450938709054,28.166666666666668
2020-01-29,random,v1.0.0,"[3, 14, 16, 23, 41, 43]",29,1,1,1,3,[3],0.10745522698875463,0.37177617994345336,23.333333333333332
2020-01-29,long_frequency,v1.0.0,"[3, 14, 16, 23, 41, 43]",29,1,1,2,3,[43],0.10759617153098724,0.3724896107992524,23.0
2020-01-29,recent_frequency,v1.0.0,"[3, 14, 16, 23, 41, 43]",29,2,2,2,4,"[41, 43]",0.10624165264473136,0.36605859260997825,19.333333333333332
2020-01-29,ema_gap,v1.0.0,"[3, 14, 16, 23, 41, 43]",29,0,0,1,4,[],0.10825709004904799,0.37325779608861415,21.666666666666668
2020-01-29,logistic,v1.0.0,"[3, 14, 16, 23, 41, 43]",29,1,1,1,1,[14],0.10698065540066241,0.36941464926942674,24.0
2020-01-29,ensemble,v1.0.0,"[3, 14, 16, 23, 41, 43]",29,1,1,2,2,[43],0.10683279659081825,0.3687964254625103,19.666666666666668
